3A	35672723	miR9666
3A	41736276	Novel
3A	51839574	miR9666
3A	73235339	miR2275
3A	73238090	miR2275
3A	73238254	miR2275
3A	73243792	miR2275
3A	73243959	miR2275
3A	75380936	miR156
3A	140025073	miR319
3A	181290486	Novel
3A	199244376	miR9666
3A	271542227	Novel
3A	348840536	Novel
3A	456739849	miR319
3A	581315909	miR1137
3A	657499290	miR9674
3A	687765558	miR9666
3A	690534565	miR9666
3A	692436602	miR9666
3A	695626935	miR9666
3A	706639863	Novel
3A	710973775	Novel
3A	714836401	miR9666
3A	743057212	miR9666
3A	747464137	miR1137
3A	749578146	miR172
3B	8203863	Novel
3B	52406879	miR393
3B	57614115	miR1130
3B	121890964	miR2275
3B	121891126	miR2275
3B	121897743	miR2275
3B	121897916	miR2275
3B	124612668	miR156
3B	191157504	miR319
3B	191157510	miR319
3B	222928245	Novel
3B	259570094	miR5181
3B	378224916	Novel
3B	451396593	miR319
3B	611399583	Novel
3B	708994957	miR9674
3B	708995058	miR9674
3B	791154771	Novel
3B	822365750	Novel
3B	822365750	Novel
3B	850991248	miR172
4A	1312250	miR9666
4A	16096190	miR166
4A	19183338	miR167
4A	79608019	Novel
4A	112213290	miR399
4A	485024519	miR319
4A	561847668	miR171
4A	587467172	miR9666
4A	587479437	miR9666
4A	601953505	Novel
4A	604082623	Novel
4A	604099096	Novel
4A	604115524	Novel
4A	604130617	Novel
4A	607417275	miR9666
4A	612076909	Novel
4A	612076909	Novel
4A	617316833	miR9666
4A	617427237	miR9666
4A	617428445	miR9666
4A	621240914	miR9666
4A	625543359	Novel
4A	640403516	Novel
4A	717072893	Novel
4A	717087463	Novel
4A	729098177	miR1847
4B	60938872	miR171
4B	150859683	miR319
4B	402240643	miR5049
4B	454829958	miR399
4B	585121431	miR166
4B	634165886	miR528
4B	642278501	miR171
4B	675736030	Novel
4B	675737175	miR9674
4B	675737338	miR9674
4B	676554606	miR9674
4B	676554818	miR9674
4B	678128516	miR9674
4B	697586884	Novel
5A	18807925	miR2118
5A	18961563	miR2118
5A	19343422	miR9666
5A	20858674	miR9666
5A	21333495	Novel
5A	57314715	miR167
5A	57317740	miR167
5A	58504574	Novel
5A	58504574	Novel
5A	325569281	Novel
5A	457800665	miR5168
5A	471382407	miR9666
5A	479719625	miR9666
5A	480074483	Novel
5A	482520135	miR9666
5A	561435179	Novel
5A	586406195	miR166
5A	589192729	miR167
5A	602104498	Novel
5A	609894395	miR9666
5A	623376255	miR5175
5A	628617391	miR167
5A	655548167	miR390
5A	669184136	miR528
5A	674052901	miR171
5A	699063869	miR9674
5A	699731014	miR9674
5A	717427145	miR9666
5B	21906688	Novel
5B	21906688	Novel
5B	24262111	miR2118
5B	24335483	miR2118
